customer_tweet_id,customer_message,gold_intent,gold_route,annotator_notes
478209,Should have expected this crud out of [HANDLE]. what's worse the hour delay on the tarmac or the rude ass flight attendant that woke me up?? [HANDLE] #whatsworse,,,
658242,This is the worst aircraft ever. [HANDLE] needs to retire this mugg.,,,
774698,"[HANDLE] trying to check in for flight tomorrow. I go to the delta page and it sends me to virgin Atlantic, then VA send me to delta. Help?",,,
891264,"Sheesh [HANDLE] no bueno on the cust. expectations today. Delays on delays due to lack of staff. I normally ❤️ you guys, but come on...",,,
863167,[HANDLE] can I bring a desktop pc tower as a carry on for a domestic flight if it fits the carry on dimensions?,,,
372965,"[HANDLE] I'm flying to Denver tomorrow, does this mean I can change flight no fee?",,,
1952270,[HANDLE] it's not about a reservation chg I had txts that a I got months ago &amp; paid for upgraded seats yet I was put on standby &amp; bumped.,,,
907141,[HANDLE] can I bring a sealed 750 ml bottle of alcohol in my carry on?,,,
2094948,"[HANDLE] Hello. I have a received an email giving a SkyMiles # for my daughter (aged 10). The email say to go to [URL] , under SkyMiles - Manage my account, in order to create a password. But when I go there, I don't see any way to do this. Can you help me ?",,,
548718,[HANDLE] Hi I found a different flight same day that would be easier for my kids. How do I go about getting this switched please. [HANDLE] since you changed my original flight,,,
2036001,[HANDLE] if i need to link an existing ecredit # to my skymiles account do i have to do that over the phone or can we handle that here?,,,
1197907,[HANDLE] [HANDLE] definitely won't be flying with you again. How do I know you even have enough pilots/planes for the tickets I buy? Answer: I don't.,,,
1769525,[HANDLE] I appreciate that very much. Is there info I should have ready when I give them a call?,,,
634209,[HANDLE] Are Medallion-qualifying MQM’s earned for flights purchased using miles?,,,
494353,"[HANDLE] you delayed my flight from SBN to MIA due 2 “tech” issue, but gave me an upgrade to FIRST. Please get your ✈️ checked!!",,,
2180944,"[HANDLE] any way you can get more people to the baggage check counter at Dulles? Airport is empty, but there are 20 people in line because there is only one agent working.",,,
982159,"[HANDLE] sorry, reservation is G8J4BZ. Please help.Thanks",,,
322704,"[HANDLE] Sadly, nobody seems to be able to fix the Sky Priority security lane issue described above. Ridiculously frustrating.",,,
1028727,[HANDLE] Could you clarify why a Medallion wouldn’t be upgraded to C+ when there were at least 4 open seats in that cabin?,,,
2484644,[HANDLE] help! I misspelled my husband's name when booking a trip for tomorrow. How can I fix this?,,,
2228065,So frustrating. Planning trip to Cancun and Delta wont upgrade my GF. Using 65k points per ticket and a gold medallion status. Bunch of BS because I am flying from Cleveland and meeting up in Atl. Too many strings to using reward tickets.....move to United😬[HANDLE],,,
2480702,Really wish [HANDLE] would stop hanging up on me when trying to discuss a refund due to their cancelled flights.,,,
1227380,Thanks [HANDLE] for the 2.5 hour delay causing me to get in at 1:30 am when I have to be to work super early. Appreciate it!!,,,
642186,"[HANDLE] hey! I’m flying to RIC today how do I figure out what concourse at LGA I go to? A, C or D?",,,
1168992,[HANDLE] Can I get on standby for free on an earlier flight tomorrow as a Silver Medallion member?,,,
1097026,"[HANDLE] Capt says 15 minutes for a new part. Can I DM to rebook my connection, since I'm going to miss it?",,,
2484634,[HANDLE] you guys suck!! I’m a gold member and I can’t select my seats until I check in!!! That’s two veterans and a spouse. Total 🐂💩!,,,
541686,[HANDLE] how come I got 5k skymiles for my diverted flight and my friend who flew with me here on the same flight yesterday got 25k miles (10k x2 customer relations bonus AND the 5k)???,,,
688245,"[HANDLE] I paid $100 for a 2lb moto polo mallet to be checked in as 2nd baggage, only for it to come out damaged. I didn't know I had to report it within 24h at the airport - this is unjust [URL]",,,
371483,"[HANDLE] I have a DeltaOne ticket, but at check-in I was assigned an economy seat. The callback-instead-of-hold number hung up on me! Help!",,,
1832206,[HANDLE] 2 hours to get a boarding pass on a transfer is insane! I only have 10 minutes to go to the lounge before DL158 😡,,,
33438,[HANDLE] Why did my pre-chosen aisle seat get changed to a middle seat without notifying me?,,,
359872,[HANDLE] how do I change a flight reservation for today if I can't contact anyone?,,,
1211380,[HANDLE] No sorry for [PHONE],,,
1026305,"[HANDLE] Sadly [HANDLE] They have tried, but between the 90 minute delay &amp; the $450 of ""missing"" hardware. My stream from the event &amp; my mood are dead",,,
1270474,[HANDLE] And was considering another airline for 2018. Sprinting to make my flight doesn't cut ir,,,
200622,[HANDLE] Hoping to change my flight today. Scheduled to leave at 7:44 but I am ready now,,,
1017565,[HANDLE] Doesn't look like anyone wants the voucher if it means they have to wait until tomorrow to leave.,,,
1070063,Delta where can I create an account on your app? [HANDLE],,,
1167884,[HANDLE] Thanks but I doubt u can get me better seat or home any earlier,,,
145662,"[HANDLE] [HANDLE] I believe that if this had been a Virgin Atlantic flight, as I originally booked, I would have received above $700 in compensation under EC 261/2004. However, [HANDLE] has offered me $100 in travel vouchers. Please could you speak with your airline partner about this?",,,
1758199,"[HANDLE] I recently had my name changed on my SkyMiles acct, but my Air BnB trip has not been updated. What is the fastest way to update this?",,,
2036395,[HANDLE] your customer service is terrible! I need to change my flight and can not wait 2hrs on hold! Please can you help!,,,
1522825,[HANDLE] Immediate Assistance??? I needed help with a fraudulent flight booking (who booked it bkwrds)held our money for ransom. 2 hr hold???,,,
1350763,As much as I ❤️Vegas I’m ready to go home [HANDLE]. Already rescheduled flight due to delay...and now new flight is late. 😡,,,
980833,[HANDLE] Serious working session tonight &amp; these medallion members keep getting hung up on after our 30 min call back! #wewantogotohongkong [URL],,,
1160771,[HANDLE] plane is here but yet you still canceled? 😞😕whyyyy?,,,
955735,"[HANDLE], what's the pay to change flights on day of a scheduled flight?",,,
1655904,When you're forced to check a carry-on during boarding when there is plenty of room in the overheads. Now I get to wait at baggage claim instead of just leaving with my carry-on. Thank you! [HANDLE],,,
1889898,[HANDLE] Nowthe flight isdelayed am not sure if my bags made itTired of beingstressed out over a short flight full of problems Need compensation,,,
375619,"[HANDLE] booked with Skymiles. Trying to leave early for an emergency has been impossible. There are seats, it's the same day, WHAT THE HELL??",,,
2429848,DEAR [HANDLE] MY FRIEND LOST HER BAG ❗️AFTER IT WAS REMOVED FROM THE PLANE WHILE IT WAS ALREADY STOWED “TO MAKE ROOM” FOR OTHERS?? ❗️IT WAS ALREADY STOWED. NOW THE BAG IS “LOST” B/C IT’S “NOT IN THE SYSTEM” AND SHE MISSED A DAY OF WORK B/C OF THIS. DM ME NOW.,,,
1939706,[HANDLE] After almost 24 hrs in transit I only notice the damage when we were unloading the Taxi at home. What is the next step then?,,,
630009,"The day before Thanksgiving and LAX sky priority checkin/bag drop only has two employees, [HANDLE]?",,,
1592527,"[HANDLE] [HANDLE] Was about say not a big Baller with with [HANDLE] like [HANDLE], then this happened , right behind you [URL]",,,
2010781,[HANDLE] Overnight vouchers were just just rejected from the hotel. What the hell?,,,
1998379,[HANDLE] How about some sort of refund? Now they're telling my family of 3 that we can't even sit together on the next flight y'all put us on.,,,
655148,I'd like to thank [HANDLE] for rebooking my Deltabusiness class ticket with an airline that has a substantially inferior business class.,,,
1098018,[HANDLE] your new in-flight free text &amp; app messaging rocks 🙌🏻 thank you 💜,,,
281991,"[HANDLE] as a skymiles gold member, why can’t I select delta comfort seats that are available? Same day travel...",,,
2476545,"[HANDLE] Hi, I am flying with you in December, between Philadelphia and San Antonio, in Basic Economy. I see to be unable to add checked baggage to my booking; can you confirm that I can book this during check-in?",,,
1850764,[HANDLE] Thanks for all the help with refund for in-laws &amp; disability assistance for my mom. Two good customer svc. experiences.,,,
1644470,[HANDLE] what are the chances flight 1155 gets cancelled completely?,,,
949771,[HANDLE] flying tomorrow and just checked in but my boarding pass doesn't show tsa Pre check and I hVe global entry. Help!,,,
1308100,"[HANDLE] If I upgrade my seat to Comfort+ on a refundable fare, can I still cancel if it's over 24 hours and get a full refund on the upgrade?",,,
2360899,[HANDLE] need help rebooking. Plane broke after boarding now I’m in line and only 2 gate agents present and 150 people in line,,,
1788822,"[HANDLE] got married, wife's skymiles # is in maiden name. Easiest way to change it?",,,
2421220,[HANDLE] pilot helps rampers off load bags after completing his post flight inspection.. #excellentcustomerservice #teamworkmakesthedreamwork [URL],,,
2397439,Hey [HANDLE] why don’t you take the $$ you charge for carry-on pets and donate it to [HANDLE]?? Actually put that overcharge to good use!,,,
