customer_tweet_id,customer_message,gold_intent,gold_route,annotator_notes,predicted_intent,decision,decision_reason,draft_reply
478209,Should have expected this crud out of [HANDLE]. what's worse the hour delay on the tarmac or the rude ass flight attendant that woke me up?? [HANDLE] #whatsworse,flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
658242,This is the worst aircraft ever. [HANDLE] needs to retire this mugg.,other_or_ambiguous,escalate,Vague complaint with no actionable request,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
774698,"[HANDLE] trying to check in for flight tomorrow. I go to the delta page and it sends me to virgin Atlantic, then VA send me to delta. Help?",check_in_or_boarding,escalate,,check_in_or_boarding,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
891264,"Sheesh [HANDLE] no bueno on the cust. expectations today. Delays on delays due to lack of staff. I normally ❤️ you guys, but come on...",flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
863167,[HANDLE] can I bring a desktop pc tower as a carry on for a domestic flight if it fits the carry on dimensions?,general_information,auto_handle,,general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
372965,"[HANDLE] I'm flying to Denver tomorrow, does this mean I can change flight no fee?",booking_change_or_cancellation,escalate,References an unspecified prior offer ('this'),booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1952270,[HANDLE] it's not about a reservation chg I had txts that a I got months ago &amp; paid for upgraded seats yet I was put on standby &amp; bumped.,other_or_ambiguous,escalate,Compensation/bump dispute; customer states it is not a reservation change,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
907141,[HANDLE] can I bring a sealed 750 ml bottle of alcohol in my carry on?,general_information,auto_handle,,general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2094948,"[HANDLE] Hello. I have a received an email giving a SkyMiles # for my daughter (aged 10). The email say to go to [URL] , under SkyMiles - Manage my account, in order to create a password. But when I go there, I don't see any way to do this. Can you help me ?",loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
548718,[HANDLE] Hi I found a different flight same day that would be easier for my kids. How do I go about getting this switched please. [HANDLE] since you changed my original flight,booking_change_or_cancellation,escalate,,general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2036001,[HANDLE] if i need to link an existing ecredit # to my skymiles account do i have to do that over the phone or can we handle that here?,loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1197907,[HANDLE] [HANDLE] definitely won't be flying with you again. How do I know you even have enough pilots/planes for the tickets I buy? Answer: I don't.,other_or_ambiguous,escalate,"Rhetorical complaint, no actionable request",general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1769525,[HANDLE] I appreciate that very much. Is there info I should have ready when I give them a call?,other_or_ambiguous,escalate,References an unspecified prior conversation,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
634209,[HANDLE] Are Medallion-qualifying MQM’s earned for flights purchased using miles?,loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
494353,"[HANDLE] you delayed my flight from SBN to MIA due 2 “tech” issue, but gave me an upgrade to FIRST. Please get your ✈️ checked!!",flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2180944,"[HANDLE] any way you can get more people to the baggage check counter at Dulles? Airport is empty, but there are 20 people in line because there is only one agent working.",baggage_issue,escalate,,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
982159,"[HANDLE] sorry, reservation is G8J4BZ. Please help.Thanks",booking_change_or_cancellation,escalate,Only a reservation code given; specific need unstated,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
322704,"[HANDLE] Sadly, nobody seems to be able to fix the Sky Priority security lane issue described above. Ridiculously frustrating.",other_or_ambiguous,escalate,References an issue 'described above' not included here,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1028727,[HANDLE] Could you clarify why a Medallion wouldn’t be upgraded to C+ when there were at least 4 open seats in that cabin?,loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2484644,[HANDLE] help! I misspelled my husband's name when booking a trip for tomorrow. How can I fix this?,booking_change_or_cancellation,escalate,,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2228065,So frustrating. Planning trip to Cancun and Delta wont upgrade my GF. Using 65k points per ticket and a gold medallion status. Bunch of BS because I am flying from Cleveland and meeting up in Atl. Too many strings to using reward tickets.....move to United😬[HANDLE],loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2480702,Really wish [HANDLE] would stop hanging up on me when trying to discuss a refund due to their cancelled flights.,refund_or_payment,escalate,,refund_or_payment,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1227380,Thanks [HANDLE] for the 2.5 hour delay causing me to get in at 1:30 am when I have to be to work super early. Appreciate it!!,flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
642186,"[HANDLE] hey! I’m flying to RIC today how do I figure out what concourse at LGA I go to? A, C or D?",general_information,escalate,"Terminal/concourse assignment may require current, flight-specific data",general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1168992,[HANDLE] Can I get on standby for free on an earlier flight tomorrow as a Silver Medallion member?,loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1097026,"[HANDLE] Capt says 15 minutes for a new part. Can I DM to rebook my connection, since I'm going to miss it?",booking_change_or_cancellation,escalate,,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2484634,[HANDLE] you guys suck!! I’m a gold member and I can’t select my seats until I check in!!! That’s two veterans and a spouse. Total 🐂💩!,check_in_or_boarding,escalate,,check_in_or_boarding,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
541686,[HANDLE] how come I got 5k skymiles for my diverted flight and my friend who flew with me here on the same flight yesterday got 25k miles (10k x2 customer relations bonus AND the 5k)???,loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
688245,"[HANDLE] I paid $100 for a 2lb moto polo mallet to be checked in as 2nd baggage, only for it to come out damaged. I didn't know I had to report it within 24h at the airport - this is unjust [URL]",baggage_issue,escalate,,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
371483,"[HANDLE] I have a DeltaOne ticket, but at check-in I was assigned an economy seat. The callback-instead-of-hold number hung up on me! Help!",check_in_or_boarding,escalate,,check_in_or_boarding,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1832206,[HANDLE] 2 hours to get a boarding pass on a transfer is insane! I only have 10 minutes to go to the lounge before DL158 😡,check_in_or_boarding,escalate,,check_in_or_boarding,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
33438,[HANDLE] Why did my pre-chosen aisle seat get changed to a middle seat without notifying me?,check_in_or_boarding,escalate,Could also be read as a booking/seat-assignment change,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
359872,[HANDLE] how do I change a flight reservation for today if I can't contact anyone?,booking_change_or_cancellation,escalate,,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1211380,[HANDLE] No sorry for [PHONE],other_or_ambiguous,escalate,Message fragment/unclear intent,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1026305,"[HANDLE] Sadly [HANDLE] They have tried, but between the 90 minute delay &amp; the $450 of ""missing"" hardware. My stream from the event &amp; my mood are dead",flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1270474,[HANDLE] And was considering another airline for 2018. Sprinting to make my flight doesn't cut ir,other_or_ambiguous,escalate,"Fragmentary message, no clear request",other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
200622,[HANDLE] Hoping to change my flight today. Scheduled to leave at 7:44 but I am ready now,booking_change_or_cancellation,escalate,,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1017565,[HANDLE] Doesn't look like anyone wants the voucher if it means they have to wait until tomorrow to leave.,refund_or_payment,escalate,,refund_or_payment,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1070063,Delta where can I create an account on your app? [HANDLE],general_information,auto_handle,,general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1167884,[HANDLE] Thanks but I doubt u can get me better seat or home any earlier,other_or_ambiguous,escalate,References an unspecified prior offer,other_or_ambiguous,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
145662,"[HANDLE] [HANDLE] I believe that if this had been a Virgin Atlantic flight, as I originally booked, I would have received above $700 in compensation under EC 261/2004. However, [HANDLE] has offered me $100 in travel vouchers. Please could you speak with your airline partner about this?",refund_or_payment,escalate,,refund_or_payment,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1758199,"[HANDLE] I recently had my name changed on my SkyMiles acct, but my Air BnB trip has not been updated. What is the fastest way to update this?",loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2036395,[HANDLE] your customer service is terrible! I need to change my flight and can not wait 2hrs on hold! Please can you help!,booking_change_or_cancellation,escalate,,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1522825,[HANDLE] Immediate Assistance??? I needed help with a fraudulent flight booking (who booked it bkwrds)held our money for ransom. 2 hr hold???,booking_change_or_cancellation,escalate,May also involve a payment/refund dispute,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1350763,As much as I ❤️Vegas I’m ready to go home [HANDLE]. Already rescheduled flight due to delay...and now new flight is late. 😡,flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
980833,[HANDLE] Serious working session tonight &amp; these medallion members keep getting hung up on after our 30 min call back! #wewantogotohongkong [URL],loyalty_or_account,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1160771,[HANDLE] plane is here but yet you still canceled? 😞😕whyyyy?,flight_disruption_or_status,escalate,,flight_disruption_or_status,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
955735,"[HANDLE], what's the pay to change flights on day of a scheduled flight?",booking_change_or_cancellation,escalate,Could be read as a generic fee-schedule question,booking_change_or_cancellation,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1655904,When you're forced to check a carry-on during boarding when there is plenty of room in the overheads. Now I get to wait at baggage claim instead of just leaving with my carry-on. Thank you! [HANDLE],baggage_issue,escalate,,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1889898,[HANDLE] Nowthe flight isdelayed am not sure if my bags made itTired of beingstressed out over a short flight full of problems Need compensation,baggage_issue,escalate,Also references a flight delay,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
375619,"[HANDLE] booked with Skymiles. Trying to leave early for an emergency has been impossible. There are seats, it's the same day, WHAT THE HELL??",booking_change_or_cancellation,escalate,,loyalty_or_account,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
2429848,DEAR [HANDLE] MY FRIEND LOST HER BAG ❗️AFTER IT WAS REMOVED FROM THE PLANE WHILE IT WAS ALREADY STOWED “TO MAKE ROOM” FOR OTHERS?? ❗️IT WAS ALREADY STOWED. NOW THE BAG IS “LOST” B/C IT’S “NOT IN THE SYSTEM” AND SHE MISSED A DAY OF WORK B/C OF THIS. DM ME NOW.,baggage_issue,escalate,,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
1939706,[HANDLE] After almost 24 hrs in transit I only notice the damage when we were unloading the Taxi at home. What is the next step then?,baggage_issue,escalate,,general_information,auto_handle,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
630009,"The day before Thanksgiving and LAX sky priority checkin/bag drop only has two employees, [HANDLE]?",baggage_issue,escalate,,baggage_issue,escalate,Simple baseline: fixed keyword rule.,Thank you for contacting Delta. A support specialist will review your request.
