customer_tweet_id,customer_message,gold_intent,gold_route,annotator_notes,predicted_intent,intent_confidence,decision,decision_reason,draft_reply,evidence_json
478209,Should have expected this crud out of [HANDLE]. what's worse the hour delay on the tarmac or the rude ass flight attendant that woke me up?? [HANDLE] #whatsworse,flight_disruption_or_status,escalate,,flight_disruption_or_status,0.8881,escalate,Historical resolution contains flight-specific details not present in this message.,"[HANDLE] Hey there, DL1076 is delayed due to maintenance. *TTN","[{""source_customer_tweet_id"": ""941150"", ""similar_customer_message"": ""[HANDLE] what\u2019s the delay on DL1076?"", ""historical_reply"": ""[HANDLE] Hey there, DL1076 is delayed due to maintenance. *TTN"", ""similarity"": 0.2385}, {""source_customer_tweet_id"": ""376855"", ""similar_customer_message"": ""[HANDLE] why the 4 hour delay on DL 725. Any chance getting another plane?"", ""historical_reply"": ""[HANDLE] Please replay using this link *AFC [URL]"", ""similarity"": 0.2286}, {""source_customer_tweet_id"": ""826720"", ""similar_customer_message"": ""What's up [HANDLE]? Freezing my butt off waiting on the tarmac after 2hr delay on DL5382 [URL]"", ""historical_reply"": ""[HANDLE] I am so sorry about the delay Brent. *TMS"", ""similarity"": 0.2282}]"
658242,This is the worst aircraft ever. [HANDLE] needs to retire this mugg.,other_or_ambiguous,escalate,Vague complaint with no actionable request,other_or_ambiguous,0.6879,escalate,Intent confidence 0.69 is below the 0.70 auto-handle threshold.,"[HANDLE] Farenheit 10987, sorry to hear you feel this way. Is there something we can assist you with here at Twitter? *TLT","[{""source_customer_tweet_id"": ""1710207"", ""similar_customer_message"": ""[HANDLE] is the worst (.)"", ""historical_reply"": ""[HANDLE] Farenheit 10987, sorry to hear you feel this way. Is there something we can assist you with here at Twitter? *TLT"", ""similarity"": 0.3725}, {""source_customer_tweet_id"": ""436521"", ""similar_customer_message"": ""[HANDLE] Needs to get to Bangor ME. Thnx. [URL]"", ""historical_reply"": ""[HANDLE] For your privacy, please resume conversation in DM: *HKC [URL]"", ""similarity"": 0.3149}, {""source_customer_tweet_id"": ""824121"", ""similar_customer_message"": ""[HANDLE] needs to get their shit together"", ""historical_reply"": ""[HANDLE] My apologies for the flight delay. Our gate agents will provide you with further updates. Is there anything I can do at this time? *HEC"", ""similarity"": 0.2751}]"
774698,"[HANDLE] trying to check in for flight tomorrow. I go to the delta page and it sends me to virgin Atlantic, then VA send me to delta. Help?",check_in_or_boarding,escalate,,check_in_or_boarding,0.8761,escalate,Historical resolution requires a private support interaction.,"[HANDLE] Hi, Laura. Please DM your confirmation number. I'll be happy to look into it for you. *TJH [URL]","[{""source_customer_tweet_id"": ""1627899"", ""similar_customer_message"": ""[HANDLE] Trying to check in for a flight that originates in OAX. Having trouble though. Help?"", ""historical_reply"": ""[HANDLE] Hi, Laura. Please DM your confirmation number. I'll be happy to look into it for you. *TJH [URL]"", ""similarity"": 0.32}, {""source_customer_tweet_id"": ""2298025"", ""similar_customer_message"": ""[HANDLE] trying to check in online for flight tomorrow from rsw to LHR and it says we have to go to check in desk. Can you help?"", ""historical_reply"": ""[HANDLE] Sure. Please DM me your confirmation number and I'll take a look into it for you. *AMC"", ""similarity"": 0.2854}, {""source_customer_tweet_id"": ""638029"", ""similar_customer_message"": ""[HANDLE] Hi, I\u2019m trying to check in for a flight tomorrow online and it can\u2019t find our reservation!"", ""historical_reply"": ""[HANDLE] Oh no! Do you have a SkyMiles account attached to your reservation? If so, please provide the number in a DM. *TJE [URL]"", ""similarity"": 0.272}]"
891264,"Sheesh [HANDLE] no bueno on the cust. expectations today. Delays on delays due to lack of staff. I normally ❤️ you guys, but come on...",flight_disruption_or_status,escalate,,flight_disruption_or_status,0.9575,auto_handle,"High-confidence, non-transactional request with a similar historical resolution.",[HANDLE] Hello Paige! I apologize for the delay. I'm sure our team is working hard to get you to your destination as quickly as possible. *HKS,"[{""source_customer_tweet_id"": ""1995367"", ""similar_customer_message"": ""[HANDLE] delays on delays! \ud83d\ude2a #friyay [URL]"", ""historical_reply"": ""[HANDLE] Hello Paige! I apologize for the delay. I'm sure our team is working hard to get you to your destination as quickly as possible. *HKS"", ""similarity"": 0.2891}, {""source_customer_tweet_id"": ""1340963"", ""similar_customer_message"": ""[HANDLE] [HANDLE] [HANDLE] DL2155 had rolling delays due to a healthy dose of crew apathy."", ""historical_reply"": ""[HANDLE] Hi there. I regret hearing about the experience with us. Please elaborate via DM. *AST"", ""similarity"": 0.212}, {""source_customer_tweet_id"": ""1417480"", ""similar_customer_message"": ""[HANDLE] My Oct 12 flight was delayed 5+ hrs due to lack of available employees. What type of compensation will be offered? Thank you."", ""historical_reply"": ""[HANDLE] Hi, Sonya. Please DM your confirmation number so I may look into the matter for you. Thanks! *TJF [URL]"", ""similarity"": 0.187}]"
863167,[HANDLE] can I bring a desktop pc tower as a carry on for a domestic flight if it fits the carry on dimensions?,general_information,auto_handle,,general_information,0.77,auto_handle,"High-confidence, non-transactional request with a similar historical resolution.","[HANDLE] If it meets the dimensions of the standard carry-on size(no larger than 45 linear inches), can fit under the seat in front of you, or in the overhead bin. *ACJ","[{""source_customer_tweet_id"": ""1554669"", ""similar_customer_message"": ""[HANDLE] can i bring a microwave as a carry-on?"", ""historical_reply"": ""[HANDLE] If it meets the dimensions of the standard carry-on size(no larger than 45 linear inches), can fit under the seat in front of you, or in the overhead bin. *ACJ"", ""similarity"": 0.5587}, {""source_customer_tweet_id"": ""14933"", ""similar_customer_message"": ""[HANDLE] can I bring my GoPro Karma drone as a carry on if it's in its case?"", ""historical_reply"": ""[HANDLE] Hello Grace, please follow via DM for assistance. *TDL [URL]"", ""similarity"": 0.3586}, {""source_customer_tweet_id"": ""994579"", ""similar_customer_message"": ""[HANDLE] can I bring cookout trays as my carry on yes or no"", ""historical_reply"": ""[HANDLE] Hi Caroline! I would need to know exactly what they are and the dimensions in order to give a definitive answer. *HKC"", ""similarity"": 0.296}]"
372965,"[HANDLE] I'm flying to Denver tomorrow, does this mean I can change flight no fee?",booking_change_or_cancellation,escalate,References an unspecified prior offer ('this'),booking_change_or_cancellation,0.4005,escalate,Historical resolution requires a private support interaction.,"[HANDLE] Hi Susan, please feel free to DM your confirmation number and more details on the change you would like. *AJY [URL]","[{""source_customer_tweet_id"": ""1344802"", ""similar_customer_message"": ""[HANDLE] Thanks Delta - does this mean we can reschedule to travel early and avoid? Son HAS to be back in college for 8 am Monday!"", ""historical_reply"": ""[HANDLE] Hi Susan, please feel free to DM your confirmation number and more details on the change you would like. *AJY [URL]"", ""similarity"": 0.1744}, {""source_customer_tweet_id"": ""2157867"", ""similar_customer_message"": ""[HANDLE] why can't I change flight online? keep getting an error message."", ""historical_reply"": ""[HANDLE] ...in the Reservations team at [PHONE], or online at our site via the Chat function. *ADB 2/2"", ""similarity"": 0.159}, {""source_customer_tweet_id"": ""95918"", ""similar_customer_message"": ""Hey [HANDLE] - can you help me to see if I can change my flight?"", ""historical_reply"": ""[HANDLE] Hi Daniel. May I have your confirmation number? Please DM for privacy. *ALS"", ""similarity"": 0.1409}]"
1952270,[HANDLE] it's not about a reservation chg I had txts that a I got months ago &amp; paid for upgraded seats yet I was put on standby &amp; bumped.,other_or_ambiguous,escalate,Compensation/bump dispute; customer states it is not a reservation change,booking_change_or_cancellation,0.4512,escalate,Historical resolution requires a private support interaction.,[HANDLE] Sure thing. Please DM us your confirmation number via this link. *ALA [URL],"[{""source_customer_tweet_id"": ""1200081"", ""similar_customer_message"": ""[HANDLE] Got a question about a reservation. Please private message me. Thank you."", ""historical_reply"": ""[HANDLE] Sure thing. Please DM us your confirmation number via this link. *ALA [URL]"", ""similarity"": 0.1316}, {""source_customer_tweet_id"": ""683221"", ""similar_customer_message"": ""[HANDLE] y'all screwed up my reservation that I made 6 months ago. How in the world is this possible? 6 months to get it right!"", ""historical_reply"": ""[HANDLE] Please accept our apology for the unfavorable impression you received in this instance. We appreciate your selection of Delta and will always consider it a privilege to be of service. Please tweet us, if you need us. Thank you. *ATJ"", ""similarity"": 0.1275}, {""source_customer_tweet_id"": ""545954"", ""similar_customer_message"": ""[HANDLE] what number do I call if I want to talk to someone about a reservation I have?"", ""historical_reply"": ""[HANDLE] Hi, Giovanna! You can reach Reservations at [PHONE]. *TJE"", ""similarity"": 0.1049}]"
907141,[HANDLE] can I bring a sealed 750 ml bottle of alcohol in my carry on?,general_information,auto_handle,,general_information,0.9219,auto_handle,"High-confidence, non-transactional request with a similar historical resolution.","[HANDLE] Hi, Sarah. Yes, you can bring your electronic toothbrush in your carry-on bag. Have a great day! *TJF","[{""source_customer_tweet_id"": ""2283669"", ""similar_customer_message"": ""[HANDLE] Can I bring my Quip electric toothbrush in my carry-on bag?"", ""historical_reply"": ""[HANDLE] Hi, Sarah. Yes, you can bring your electronic toothbrush in your carry-on bag. Have a great day! *TJF"", ""similarity"": 0.4503}, {""source_customer_tweet_id"": ""1554669"", ""similar_customer_message"": ""[HANDLE] can i bring a microwave as a carry-on?"", ""historical_reply"": ""[HANDLE] If it meets the dimensions of the standard carry-on size(no larger than 45 linear inches), can fit under the seat in front of you, or in the overhead bin. *ACJ"", ""similarity"": 0.442}, {""source_customer_tweet_id"": ""994579"", ""similar_customer_message"": ""[HANDLE] can I bring cookout trays as my carry on yes or no"", ""historical_reply"": ""[HANDLE] Hi Caroline! I would need to know exactly what they are and the dimensions in order to give a definitive answer. *HKC"", ""similarity"": 0.3841}]"
2094948,"[HANDLE] Hello. I have a received an email giving a SkyMiles # for my daughter (aged 10). The email say to go to [URL] , under SkyMiles - Manage my account, in order to create a password. But when I go there, I don't see any way to do this. Can you help me ?",loyalty_or_account,escalate,,loyalty_or_account,0.9479,escalate,loyalty_or_account requires a human to verify trip-specific policy or account data.,[HANDLE] Okay. I am looking into it. One moment. *CKP,"[{""source_customer_tweet_id"": ""616545"", ""similar_customer_message"": ""[HANDLE] I'm trying to create a SkyMiles account. [URL]"", ""historical_reply"": ""[HANDLE] Okay. I am looking into it. One moment. *CKP"", ""similarity"": 0.2607}, {""source_customer_tweet_id"": ""822835"", ""similar_customer_message"": ""[HANDLE] I need to reset the email and pw for my Skymiles account. How do I do this?"", ""historical_reply"": ""[HANDLE] ...account to this link. *ACJ 2/2 [URL]"", ""similarity"": 0.189}, {""source_customer_tweet_id"": ""711690"", ""similar_customer_message"": ""[HANDLE] - I received an email for the Chelsea match giveaway but when I entered my Skymiles number it says I am ineligible. why?"", ""historical_reply"": ""[HANDLE] Thanks for reaching out to us. I apologize for the error, we are looking into it. *AMC"", ""similarity"": 0.1824}]"
548718,[HANDLE] Hi I found a different flight same day that would be easier for my kids. How do I go about getting this switched please. [HANDLE] since you changed my original flight,booking_change_or_cancellation,escalate,,general_information,0.2768,escalate,Intent confidence 0.28 is below the 0.70 auto-handle threshold.,[HANDLE] You can upload a copy of your government issued ID here on Twitter and we'll have your name updated. *AJR,"[{""source_customer_tweet_id"": ""1838644"", ""similar_customer_message"": ""[HANDLE] I also have a name change, how do I go about that?"", ""historical_reply"": ""[HANDLE] You can upload a copy of your government issued ID here on Twitter and we'll have your name updated. *AJR"", ""similarity"": 0.2119}, {""source_customer_tweet_id"": ""2452294"", ""similar_customer_message"": ""[HANDLE] hi. I forgot my password how do I reset it [HANDLE]"", ""historical_reply"": ""[HANDLE] Hi, David! I'd be happy to assist. Can you please provide me with your SkyMiles Account # here? *TJN [URL]"", ""similarity"": 0.1251}, {""source_customer_tweet_id"": ""2344586"", ""similar_customer_message"": ""[HANDLE] how do i do that"", ""historical_reply"": ""[HANDLE] Hi, Devin. Please allow me a moment to check on this with TSA for you. *AJL"", ""similarity"": 0.1186}]"
